Equipment ,Addresse Queue,Addresse TM
TE1,"33.112461865440416, -8.621845086137878","33.11583908097663, -8.61927584506072"
TE2,"33.112461865440416, -8.621845086137878","33.11583908097663, -8.61927584506072"
NAV1,"33.11582910571945, -8.619288584071738","33.11582910571945, -8.619288584071738"
NAV2,"33.11582910571945, -8.619288584071738","33.11582910571945, -8.619288584071738"
TD1,"33.106184585411626, -8.60956830556102","33.11250349961888, -8.621672955644941"
TD2,"33.106184585411626, -8.60956830556102","33.11250349961888, -8.621672955644941"
TB1,"33.09647245985872, -8.616766477412705","33.10615311555658, -8.60954576433394"
TB2,"33.09647245985872, -8.616766477412705","33.10615311555658, -8.60954576433394"
TC1,"33.09410563537893, -8.61219060403372","33.0964724598393, -8.61680404615844"
TC1,"33.09410563537893, -8.61219060403372","33.0964724598393, -8.61680404615844"
C1P1,"33.09461339883809, -8.611856535682197","33.09410563537893, -8.61224320027723"
RB1,"33.112379615038684, -8.612675702847863","33.11504113865897, -8.617728735084839"
RB2,"33.112379615038684, -8.612675702847863","33.11504113865897, -8.617728735084839"
RB3,"33.11398769871096, -8.615234395594225","33.11520976244179, -8.617564145820676"
RC1,"33.11504113866688, -8.617691435640811","33.11571659979835, -8.618793615318332"
RC2,"33.11504113866688, -8.617691435640811","33.11571659979835, -8.618793615318332"
RC3,"33.11520976244179, -8.617564145820676","33.11581857476819, -8.618717495639812"
RC8,"33.11557947774005, -8.619106564282935","33.11582908188941, -8.618896204111735"
EC1,"33.11557947774005, -8.619106564282935","33.11582908188941, -8.618896204111735"
G1,"33.11560196789214, -8.618812065262418","33.11714488907473, -8.621760578940046"
G2,"33.11560196789214, -8.618812065262418","33.11714488907473, -8.621760578940046"
G3,"33.117216168707905, -8.621671928503346","33.115751954680526, -8.618890077646844"
G4,"33.117216168707905, -8.621671928503346","33.115751954680526, -8.618890077646844"
GH3,"33.11746800919785, -8.621525706376904","33.116193392566664, -8.619064930512492"
GH4,"33.11746800919785, -8.621525706376904","33.116193392566664, -8.619064930512492"
SD,"33.11231959793513, -8.612788220974387","33.11242518908919, -8.612675568201356"
SD1,"33.11231959793513, -8.612788220974387","33.11242518908919, -8.612675568201356"
SA11,"33.10952611403694, -8.607450684748594","33.11746800919785, -8.621525706376904"
SA1,"33.10992278271601, -8.60815269783281","33.11746800919785, -8.621525706376904"
SA2,"33.1123356806571, -8.612720279795296","33.112616507869994, -8.613264768227449"
SA22,"33.1123356806571, -8.612720279795296","33.112616507869994, -8.613264768227449"
SA3,"33.112616507869994, -8.613264768227449","33.112919800249685, -8.613836078750543"
SA33,"33.112616507869994, -8.613264768227449","33.112919800249685, -8.613836078750543"
SA4,"33.112919800249685, -8.613836078750543","33.11323881776949, -8.614410071481593"
SA44,"33.112919800249685, -8.613836078750543","33.11323881776949, -8.614410071481593"
SA5,"33.11323881776949, -8.614410071481593","33.1135466011811, -8.615032343957735"
SA55,"33.11323881776949, -8.614410071481593","33.1135466011811, -8.615032343957735"
SA6,"33.1135466011811, -8.615032343957735","33.11386786300654, -8.615627794338804"
SA66,"33.1135466011811, -8.615032343957735","33.11386786300654, -8.615627794338804"
T047,"33.11349120334117, -8.61412932550073","33.113812465370806, -8.614756962391839"
T147,"33.11349120334117, -8.61412932550073","33.113812465370806, -8.614756962391839"
T247,"33.11349120334117, -8.61412932550073","33.113812465370806, -8.614756962391839"
T048,"33.113812465370806, -8.614756962391839","33.11412473991818, -8.61535241276358"
T148,"33.113812465370806, -8.614756962391839","33.11412473991818, -8.61535241276358"
T248,"33.113812465370806, -8.614756962391839","33.11412473991818, -8.61535241276358"
SB1,"33.11232746111928, -8.612753352255327","33.11579055988652, -8.6101221052855"
SB2,"33.11261053496565, -8.613316616120485","33.11608710172625, -8.610663911479605"
SB3,"33.1129025943273, -8.613882562194526","33.11638813560014, -8.611259361851346"
SB4,"33.11320139252526, -8.61444850830852","33.11668916844234, -8.611817261298741"
SB5,"33.113529395389925, -8.615073463010184","33.11700367926499, -8.612428804923772"
SB6,"33.11383493120231, -8.615601858186253","33.11733166792331, -8.612997433206694"
RA1,"33.11453586225552, -8.611374696882683","33.112451025215364, -8.612892827109464"
RA2,"33.1148369014543, -8.611948689593223","33.11275207156105, -8.613472184236443"
RA3,"33.11513344651863, -8.612533411149945","33.113044130460096, -8.61403008370248"
RA4,"33.11542549750125, -8.613144954786696","33.11334966795448, -8.614604076428732"
RA5,"33.117222712924445, -8.612560233240094","33.113650711210916, -8.615204891220637"
RA6,"33.11750577099608, -8.61311813268749","33.113938273954, -8.61575742625027"
RAA,"33.11218143057924, -8.607716163800225","33.11038018035402, -8.60904653938851"
RAB,"33.11248697107274, -8.608263334412094","33.11065989048326, -8.609592368913987"
RAC,"33.11274308508529, -8.608644208079957","33.11096655960148, -8.610169043852245"
